time,Ca,Cu,CL_BoNet
0,0,0,0
0.025,9.14E-07,0,0
0.05,8.51E-06,0.000100856,7.22E-10
0.075,2.35E-05,0.000912852,7.45E-09
0.1,4.52E-05,0.002356389,2.60E-08
0.125,7.27E-05,0.004361564,6.17E-08
0.15,0.000105353,0.006864605,1.19E-07
0.175,0.00014261,0.009808005,2.02E-07
0.2,0.000183891,0.013139746,3.15E-07
0.225,0.000228701,0.016812839,4.60E-07
0.25,0.000276589,0.020784838,6.41E-07
0.275,0.000327151,0.02501742,8.59E-07
0.3,0.000380021,0.029475998,1.12E-06
0.325,0.000434868,0.034129372,1.42E-06
0.35,0.000491396,0.038949408,1.76E-06
0.375,0.000549337,0.043910754,2.15E-06
0.4,0.000608449,0.048990578,2.58E-06
0.425,0.000668517,0.05416833,3.06E-06
0.45,0.000729345,0.059425528,3.59E-06
0.475,0.000790757,0.064745564,4.17E-06
0.5,0.000852598,0.070113525,4.79E-06
0.525,0.000914727,0.075516035,5.46E-06
0.55,0.000977016,0.080941111,6.19E-06
0.575,0.001039355,0.086378027,6.96E-06
0.6,0.001101642,0.091817198,7.78E-06
0.625,0.001163788,0.097250071,8.65E-06
0.65,0.001225713,0.102669026,9.56E-06
0.675,0.001287346,0.108067288,1.05E-05
0.7,0.001348625,0.113438846,1.15E-05
0.725,0.001409494,0.118778378,1.26E-05
0.75,0.001469905,0.124081188,1.37E-05
0.775,0.001529815,0.129343143,1.49E-05
0.8,0.001589186,0.134560621,1.61E-05
0.825,0.001647987,0.139730457,1.73E-05
0.85,0.001706188,0.144849905,1.86E-05
0.875,0.001763766,0.149916591,2.00E-05
0.9,0.0018207,0.154928481,2.14E-05
0.925,0.001876974,0.159883844,2.28E-05
0.95,0.001932571,0.164781224,2.43E-05
0.975,0.001987481,0.169619411,2.58E-05
1,0.002041695,0.174397419,2.74E-05
1.025,0.002095204,0.17911446,2.90E-05
1.05,0.002148003,0.183769926,3.06E-05
1.075,0.002200089,0.18836337,3.23E-05
1.1,0.002251458,0.19289449,3.41E-05
1.125,0.002302111,0.197363111,3.59E-05
1.15,0.002352047,0.201769175,3.77E-05
1.175,0.002401268,0.206112727,3.95E-05
1.2,0.002449776,0.210393904,4.14E-05
1.225,0.002497574,0.214612924,4.33E-05
1.25,0.002544666,0.218770077,4.53E-05
1.275,0.002591057,0.22286572,4.73E-05
1.3,0.002636752,0.226900263,4.94E-05
1.325,0.002681756,0.230874169,5.14E-05
1.35,0.002726076,0.234787944,5.35E-05
1.375,0.002769718,0.238642132,5.57E-05
1.4,0.002812689,0.242437311,5.79E-05
1.425,0.002854997,0.246174087,6.01E-05
1.45,0.002896648,0.249853091,6.23E-05
1.475,0.002937651,0.253474976,6.46E-05
1.5,0.002978013,0.257040412,6.69E-05
1.525,0.003017742,0.260550085,6.93E-05
1.55,0.003056846,0.264004691,7.17E-05
1.575,0.003095334,0.26740494,7.41E-05
1.6,0.003133214,0.270751544,7.65E-05
1.625,0.003170493,0.274045226,7.90E-05
1.65,0.003207181,0.277286709,8.15E-05
1.675,0.003243285,0.280476722,8.40E-05
1.7,0.003278814,0.283615992,8.65E-05
1.725,0.003313777,0.286705247,8.91E-05
1.75,0.003348181,0.289745215,9.17E-05
1.775,0.003382035,0.292736619,9.44E-05
1.8,0.003415348,0.295680182,9.70E-05
1.825,0.003448126,0.29857662,9.97E-05
1.85,0.003480379,0.301426646,0.000102437
1.875,0.003512115,0.304230969,0.000105176
1.9,0.003543341,0.306990289,0.00010794
1.925,0.003574065,0.309705303,0.000110728
1.95,0.003604296,0.312376699,0.00011354
1.975,0.00363404,0.31500516,0.000116375
2,0.003663307,0.31759136,0.000119234
2.025,0.003692102,0.320135967,0.000122116
2.05,0.003720434,0.322639641,0.00012502
2.075,0.003748311,0.325103031,0.000127946
2.1,0.003775739,0.327526784,0.000130894
2.125,0.003802725,0.329911532,0.000133863
2.15,0.003829277,0.332257904,0.000136854
2.175,0.003855402,0.334566518,0.000139865
2.2,0.003881106,0.336837984,0.000142896
2.225,0.003906397,0.339072905,0.000145947
2.25,0.003931282,0.341271872,0.000149018
2.275,0.003955766,0.343435471,0.000152109
2.3,0.003979856,0.345564278,0.000155218
2.325,0.004003559,0.347658861,0.000158346
2.35,0.004026881,0.34971978,0.000161493
2.375,0.004049829,0.351747584,0.000164657
2.4,0.004072408,0.353742818,0.00016784
2.425,0.004094625,0.355706015,0.00017104
2.45,0.004116485,0.357637702,0.000174257
2.475,0.004137995,0.359538397,0.000177491
2.5,0.00415916,0.361408609,0.000180742
2.525,0.004179986,0.363248842,0.000184009
2.55,0.004200478,0.365059588,0.000187293
2.575,0.004220642,0.366841336,0.000190592
2.6,0.004240483,0.368594562,0.000193907
2.625,0.004260007,0.370319739,0.000197237
2.65,0.004279219,0.37201733,0.000200582
2.675,0.004298124,0.373687791,0.000203943
2.7,0.004316728,0.375331571,0.000207317
2.725,0.004335034,0.376949112,0.000210706
2.75,0.004353049,0.378540847,0.00021411
2.775,0.004370776,0.380107205,0.000217527
2.8,0.004388222,0.381648605,0.000220958
2.825,0.004405389,0.383165462,0.000224402
2.85,0.004422284,0.384658181,0.000227859
2.875,0.00443891,0.386127165,0.00023133
2.9,0.004455272,0.387572805,0.000234813
2.925,0.004471374,0.38899549,0.000238309
2.95,0.004487221,0.3903956,0.000241817
2.975,0.004502817,0.39177351,0.000245337
3,0.004518166,0.393129588,0.00024887
3.025,0.004533272,0.394464197,0.000252414
3.05,0.004548139,0.395777694,0.00025597
3.075,0.004562772,0.397070428,0.000259537
3.1,0.004577173,0.398342744,0.000263115
3.125,0.004591347,0.399594982,0.000266704
3.15,0.004605298,0.400827475,0.000270305
3.175,0.00461903,0.402040552,0.000273915
3.2,0.004632545,0.403234534,0.000277537
3.225,0.004645848,0.404409739,0.000281168
3.25,0.004658942,0.405566478,0.00028481
3.275,0.004671831,0.406705059,0.000288462
3.3,0.004684517,0.407825784,0.000292124
3.325,0.004697005,0.408928948,0.000295795
3.35,0.004709298,0.410014844,0.000299476
3.375,0.004721399,0.411083759,0.000303166
3.4,0.00473331,0.412135975,0.000306865
3.425,0.004745036,0.413171769,0.000310574
